,year,month,day,hour,minute,dhi,dni,dew_point,air_temperature,wind_speed,total_precipitable_water,relative_humidity,solar_zenith_angle,surface_albedo
2019-01-01 00:00:00,2019,1,1,0,0,11.0,153.0,-3.0,2.8,1.0,1.0,65.6,86.89,0.1
2019-01-01 00:30:00,2019,1,1,0,30,3.0,36.0,-3.0,2.5,1.0,1.0,67.01,91.18,0.1
2019-01-01 01:00:00,2019,1,1,1,0,0.0,0.0,-3.1,2.1,1.0,1.0,68.33,95.5,0.1
2019-01-01 01:30:00,2019,1,1,1,30,0.0,0.0,-3.1,1.8,1.0,1.1,69.81,100.04,0.1
2019-01-01 02:00:00,2019,1,1,2,0,0.0,0.0,-3.0,1.6,0.9,1.1,71.62,104.77,0.1
2019-01-01 02:30:00,2019,1,1,2,30,0.0,0.0,-3.0,1.4,0.9,1.1,72.65,109.63,0.1
2019-01-01 03:00:00,2019,1,1,3,0,0.0,0.0,-2.9,1.3,0.8,1.2,73.52,114.6,0.1
2019-01-01 03:30:00,2019,1,1,3,30,0.0,0.0,-2.9,1.1,0.9,1.2,74.51,119.63,0.1
2019-01-01 04:00:00,2019,1,1,4,0,0.0,0.0,-2.9,0.9,0.9,1.2,75.59,124.68,0.1
2019-01-01 04:30:00,2019,1,1,4,30,0.0,0.0,-2.9,0.8,0.9,1.3,76.14,129.7,0.1
2019-01-01 05:00:00,2019,1,1,5,0,0.0,0.0,-2.8,0.6,1.0,1.3,77.77,134.64,0.1
2019-01-01 05:30:00,2019,1,1,5,30,0.0,0.0,-2.8,0.6,1.0,1.3,77.77,139.41,0.1
2019-01-01 06:00:00,2019,1,1,6,0,0.0,0.0,-2.7,0.7,1.0,1.3,78.07,143.91,0.1
2019-01-01 06:30:00,2019,1,1,6,30,0.0,0.0,-2.7,0.5,1.0,1.3,79.21,147.99,0.1
2019-01-01 07:00:00,2019,1,1,7,0,0.0,0.0,-2.5,0.4,1.1,1.4,80.74,151.43,0.1
2019-01-01 07:30:00,2019,1,1,7,30,0.0,0.0,-2.5,0.4,1.0,1.4,80.74,153.95,0.1
2019-01-01 08:00:00,2019,1,1,8,0,0.0,0.0,-2.3,0.4,1.0,1.4,81.95,155.26,0.1
2019-01-01 08:30:00,2019,1,1,8,30,0.0,0.0,-2.3,0.5,1.0,1.4,81.36,155.15,0.1
2019-01-01 09:00:00,2019,1,1,9,0,0.0,0.0,-2.1,0.6,0.9,1.4,82.06,153.64,0.1
2019-01-01 09:30:00,2019,1,1,9,30,0.0,0.0,-2.1,0.5,0.9,1.4,82.65,150.96,0.1
2019-01-01 10:00:00,2019,1,1,10,0,0.0,0.0,-1.9,0.3,0.9,1.4,85.21,147.4,0.1
2019-01-01 10:30:00,2019,1,1,10,30,0.0,0.0,-1.9,0.2,0.9,1.4,85.75,143.25,0.1
2019-01-01 11:00:00,2019,1,1,11,0,0.0,0.0,-1.8,0.0,0.9,1.3,87.91,138.7,0.1
2019-01-01 11:30:00,2019,1,1,11,30,0.0,0.0,-1.8,0.1,0.8,1.3,87.28,133.89,0.1
2019-01-01 12:00:00,2019,1,1,12,0,0.0,0.0,-1.7,0.1,0.8,1.3,87.56,128.94,0.1
2019-01-01 12:30:00,2019,1,1,12,30,0.0,0.0,-1.7,-0.1,0.8,1.3,88.84,123.9,0.1
2019-01-01 13:00:00,2019,1,1,13,0,0.0,0.0,-1.9,-0.3,0.9,1.3,88.92,118.85,0.1
2019-01-01 13:30:00,2019,1,1,13,30,0.0,0.0,-1.9,-0.4,0.9,1.3,89.66,113.83,0.1
2019-01-01 14:00:00,2019,1,1,14,0,0.0,0.0,-1.9,-0.5,0.9,1.3,90.03,108.87,0.1
2019-01-01 14:30:00,2019,1,1,14,30,0.0,0.0,-1.9,-0.5,0.8,1.3,90.03,104.02,0.1
2019-01-01 15:00:00,2019,1,1,15,0,0.0,0.0,-1.9,-0.5,0.7,1.4,90.4,99.32,0.1
2019-01-01 15:30:00,2019,1,1,15,30,0.0,0.0,-1.9,0.0,0.7,1.4,87.18,94.8,0.1
2019-01-01 16:00:00,2019,1,1,16,0,3.0,24.0,-1.3,0.4,0.7,1.4,88.37,89.93,0.1
2019-01-01 16:30:00,2019,1,1,16,30,23.0,34.0,-1.3,1.4,0.6,1.5,82.24,86.29,0.1
2019-01-01 17:00:00,2019,1,1,17,0,46.0,136.0,0.0,2.4,0.6,1.5,84.31,82.7,0.1
2019-01-01 17:30:00,2019,1,1,17,30,67.0,153.0,0.0,3.2,0.5,1.6,79.67,79.44,0.1
2019-01-01 18:00:00,2019,1,1,18,0,83.0,261.0,1.0,4.0,0.5,1.6,80.71,76.6,0.1
2019-01-01 18:30:00,2019,1,1,18,30,94.0,320.0,1.0,4.9,0.4,1.6,75.79,74.24,0.1
2019-01-01 19:00:00,2019,1,1,19,0,78.0,550.0,1.7,5.9,0.3,1.6,74.48,72.43,0.1
2019-01-01 19:30:00,2019,1,1,19,30,127.0,216.0,1.7,6.4,0.2,1.6,71.96,71.2,0.1
2019-01-01 20:00:00,2019,1,1,20,0,77.0,618.0,2.7,7.0,0.1,1.6,74.31,70.61,0.1
2019-01-01 20:30:00,2019,1,1,20,30,100.0,462.0,2.7,7.0,0.1,1.7,74.31,70.65,0.1
2019-01-01 21:00:00,2019,1,1,21,0,118.0,289.0,1.9,7.0,0.2,1.7,69.79,71.33,0.1
2019-01-01 21:30:00,2019,1,1,21,30,111.0,265.0,1.9,6.7,0.2,1.7,71.24,72.63,0.1
2019-01-01 22:00:00,2019,1,1,22,0,90.0,336.0,2.4,6.5,0.3,1.7,74.98,74.51,0.1
2019-01-01 22:30:00,2019,1,1,22,30,74.0,340.0,2.4,5.9,0.4,1.6,78.14,76.93,0.1
2019-01-01 23:00:00,2019,1,1,23,0,63.0,210.0,1.2,5.2,0.6,1.6,75.41,79.83,0.1
2019-01-01 23:30:00,2019,1,1,23,30,42.0,89.0,1.2,5.2,0.6,1.6,75.41,83.15,0.1
2019-01-02 00:00:00,2019,1,2,0,0,19.0,98.0,-0.3,4.4,0.7,1.6,71.31,86.77,0.1
2019-01-02 00:30:00,2019,1,2,0,30,3.0,28.0,-0.3,4.1,0.7,1.6,72.83,91.05,0.1
2019-01-02 01:00:00,2019,1,2,1,0,0.0,0.0,-0.6,3.8,0.7,1.6,73.09,95.37,0.1
2019-01-02 01:30:00,2019,1,2,1,30,0.0,0.0,-0.6,3.4,0.7,1.6,75.17,99.91,0.1
2019-01-02 02:00:00,2019,1,2,2,0,0.0,0.0,-0.7,3.0,0.8,1.6,76.89,104.63,0.1
2019-01-02 02:30:00,2019,1,2,2,30,0.0,0.0,-0.7,2.6,0.8,1.6,79.02,109.49,0.1
2019-01-02 03:00:00,2019,1,2,3,0,0.0,0.0,-0.8,2.3,0.9,1.6,79.86,114.46,0.1
2019-01-02 03:30:00,2019,1,2,3,30,0.0,0.0,-0.8,2.0,0.9,1.6,81.58,119.49,0.1
2019-01-02 04:00:00,2019,1,2,4,0,0.0,0.0,-1.0,1.7,1.0,1.6,82.31,124.54,0.1
2019-01-02 04:30:00,2019,1,2,4,30,0.0,0.0,-1.0,1.4,1.0,1.6,84.02,129.56,0.1
2019-01-02 05:00:00,2019,1,2,5,0,0.0,0.0,-1.0,1.1,1.1,1.6,85.71,134.5,0.1
2019-01-02 05:30:00,2019,1,2,5,30,0.0,0.0,-1.0,0.9,1.1,1.6,86.95,139.27,0.1
2019-01-02 06:00:00,2019,1,2,6,0,0.0,0.0,-1.0,0.6,1.1,1.6,89.11,143.78,0.1
2019-01-02 06:30:00,2019,1,2,6,30,0.0,0.0,-1.0,0.5,1.1,1.6,89.66,147.86,0.1
2019-01-02 07:00:00,2019,1,2,7,0,0.0,0.0,-0.9,0.3,1.1,1.6,91.47,151.31,0.1
2019-01-02 07:30:00,2019,1,2,7,30,0.0,0.0,-0.9,0.2,1.1,1.6,92.13,153.84,0.1
2019-01-02 08:00:00,2019,1,2,8,0,0.0,0.0,-1.0,0.2,1.1,1.6,91.61,155.17,0.1
2019-01-02 08:30:00,2019,1,2,8,30,0.0,0.0,-1.0,0.2,1.1,1.6,91.61,155.08,0.1
2019-01-02 09:00:00,2019,1,2,9,0,0.0,0.0,-1.1,0.2,1.1,1.5,91.26,153.59,0.1
2019-01-02 09:30:00,2019,1,2,9,30,0.0,0.0,-1.1,0.3,1.1,1.5,90.6,150.93,0.1
2019-01-02 10:00:00,2019,1,2,10,0,0.0,0.0,-0.9,0.4,1.0,1.4,90.77,147.4,0.1
2019-01-02 10:30:00,2019,1,2,10,30,0.0,0.0,-0.9,0.5,1.0,1.4,90.12,143.25,0.1
2019-01-02 11:00:00,2019,1,2,11,0,0.0,0.0,-0.6,0.6,0.9,1.4,91.89,138.71,0.1
2019-01-02 11:30:00,2019,1,2,11,30,0.0,0.0,-0.6,0.8,0.8,1.4,90.48,133.91,0.1
2019-01-02 12:00:00,2019,1,2,12,0,0.0,0.0,-0.3,1.0,0.8,1.4,91.25,128.96,0.1
2019-01-02 12:30:00,2019,1,2,12,30,0.0,0.0,-0.3,1.2,0.8,1.4,89.86,123.93,0.1
2019-01-02 13:00:00,2019,1,2,13,0,0.0,0.0,0.0,1.4,0.8,1.4,90.44,118.87,0.1
2019-01-02 13:30:00,2019,1,2,13,30,0.0,0.0,0.0,1.5,0.8,1.4,89.79,113.85,0.1
2019-01-02 14:00:00,2019,1,2,14,0,0.0,0.0,0.2,1.6,0.8,1.5,90.15,108.89,0.1
2019-01-02 14:30:00,2019,1,2,14,30,0.0,0.0,0.2,1.6,0.8,1.5,90.15,104.03,0.1
2019-01-02 15:00:00,2019,1,2,15,0,0.0,0.0,0.1,1.6,0.8,1.5,89.75,99.32,0.1
2019-01-02 15:30:00,2019,1,2,15,30,0.0,0.0,0.1,1.7,0.9,1.5,89.11,94.8,0.1
2019-01-02 16:00:00,2019,1,2,16,0,3.0,30.0,0.0,1.8,0.9,1.6,88.1,89.93,0.1
2019-01-02 16:30:00,2019,1,2,16,30,16.0,1.0,0.0,2.7,0.9,1.6,82.63,86.28,0.1
2019-01-02 17:00:00,2019,1,2,17,0,36.0,3.0,1.1,3.5,0.9,1.6,84.06,82.68,0.1
2019-01-02 17:30:00,2019,1,2,17,30,53.0,12.0,1.1,4.2,1.0,1.6,80.03,79.41,0.1
2019-01-02 18:00:00,2019,1,2,18,0,68.0,20.0,1.7,5.0,1.0,1.6,79.03,76.56,0.1
2019-01-02 18:30:00,2019,1,2,18,30,51.0,8.0,1.7,5.4,1.1,1.6,76.87,74.19,0.1
2019-01-02 19:00:00,2019,1,2,19,0,110.0,77.0,1.8,5.9,1.3,1.6,75.1,72.37,0.1
2019-01-02 19:30:00,2019,1,2,19,30,58.0,8.0,1.8,6.1,1.3,1.7,74.07,71.13,0.1
2019-01-02 20:00:00,2019,1,2,20,0,52.0,4.0,1.8,6.3,1.3,1.7,72.98,70.52,0.1
2019-01-02 20:30:00,2019,1,2,20,30,54.0,18.0,1.8,6.2,1.3,1.7,73.49,70.55,0.1
2019-01-02 21:00:00,2019,1,2,21,0,30.0,0.0,2.0,6.2,1.3,1.7,74.55,71.22,0.1
2019-01-02 21:30:00,2019,1,2,21,30,21.0,0.0,2.0,5.9,1.2,1.8,76.11,72.52,0.1
2019-01-02 22:00:00,2019,1,2,22,0,17.0,0.0,2.1,5.6,1.2,1.9,78.24,74.39,0.1
2019-01-02 22:30:00,2019,1,2,22,30,14.0,0.0,2.1,5.4,1.2,1.9,79.34,76.81,0.1
2019-01-02 23:00:00,2019,1,2,23,0,11.0,0.0,2.0,5.1,1.2,2.0,80.28,79.71,0.1
2019-01-02 23:30:00,2019,1,2,23,30,8.0,0.0,2.0,5.1,1.2,2.0,80.28,83.02,0.1
2019-01-03 00:00:00,2019,1,3,0,0,5.0,1.0,2.1,4.8,1.2,2.2,82.5,86.64,0.1
2019-01-03 00:30:00,2019,1,3,0,30,0.0,1.0,2.1,4.8,1.3,2.2,82.5,90.91,0.1
2019-01-03 01:00:00,2019,1,3,1,0,0.0,0.0,2.5,4.8,1.3,2.2,84.82,95.23,0.1
2019-01-03 01:30:00,2019,1,3,1,30,0.0,0.0,2.5,4.9,1.3,2.2,84.23,99.77,0.1
2019-01-03 02:00:00,2019,1,3,2,0,0.0,0.0,2.8,4.9,1.3,2.1,86.46,104.49,0.1
2019-01-03 02:30:00,2019,1,3,2,30,0.0,0.0,2.8,5.0,1.3,2.1,85.86,109.35,0.1
2019-01-03 03:00:00,2019,1,3,3,0,0.0,0.0,3.2,5.1,1.3,2.1,87.4,114.32,0.1
2019-01-03 03:30:00,2019,1,3,3,30,0.0,0.0,3.2,5.1,1.4,2.1,87.32,119.35,0.1
2019-01-03 04:00:00,2019,1,3,4,0,0.0,0.0,3.4,5.2,1.4,2.1,88.2,124.4,0.1
2019-01-03 04:30:00,2019,1,3,4,30,0.0,0.0,3.4,5.3,1.4,2.1,87.6,129.42,0.1
2019-01-03 05:00:00,2019,1,3,5,0,0.0,0.0,3.6,5.4,1.5,2.1,87.97,134.36,0.1
2019-01-03 05:30:00,2019,1,3,5,30,0.0,0.0,3.6,5.6,1.5,2.1,86.76,139.13,0.1
2019-01-03 06:00:00,2019,1,3,6,0,0.0,0.0,3.9,5.7,1.6,2.2,88.01,143.64,0.1
2019-01-03 06:30:00,2019,1,3,6,30,0.0,0.0,3.9,5.9,1.6,2.2,86.72,147.72,0.1
2019-01-03 07:00:00,2019,1,3,7,0,0.0,0.0,4.3,6.1,1.5,2.3,88.26,151.18,0.1
2019-01-03 07:30:00,2019,1,3,7,30,0.0,0.0,4.3,6.2,1.5,2.4,87.66,153.72,0.1
2019-01-03 08:00:00,2019,1,3,8,0,0.0,0.0,4.8,6.3,1.5,2.4,89.83,155.07,0.1
2019-01-03 08:30:00,2019,1,3,8,30,0.0,0.0,4.8,6.4,1.5,2.4,89.21,155.0,0.1
2019-01-03 09:00:00,2019,1,3,9,0,0.0,0.0,5.1,6.5,1.5,2.5,90.89,153.54,0.1
2019-01-03 09:30:00,2019,1,3,9,30,0.0,0.0,5.1,6.6,1.5,2.5,90.27,150.9,0.1
2019-01-03 10:00:00,2019,1,3,10,0,0.0,0.0,5.3,6.7,1.6,2.5,91.05,147.38,0.1
2019-01-03 10:30:00,2019,1,3,10,30,0.0,0.0,5.3,6.7,1.6,2.5,91.05,143.25,0.1
2019-01-03 11:00:00,2019,1,3,11,0,0.0,0.0,5.5,6.7,1.6,2.5,92.07,138.71,0.1
2019-01-03 11:30:00,2019,1,3,11,30,0.0,0.0,5.5,6.8,1.6,2.5,91.44,133.92,0.1
2019-01-03 12:00:00,2019,1,3,12,0,0.0,0.0,5.7,6.9,1.6,2.5,91.84,128.97,0.1
2019-01-03 12:30:00,2019,1,3,12,30,0.0,0.0,5.7,6.9,1.6,2.5,91.75,123.94,0.1
2019-01-03 13:00:00,2019,1,3,13,0,0.0,0.0,5.8,7.0,1.6,2.5,91.89,118.89,0.1
2019-01-03 13:30:00,2019,1,3,13,30,0.0,0.0,5.8,7.1,1.6,2.5,91.26,113.86,0.1
2019-01-03 14:00:00,2019,1,3,14,0,0.0,0.0,5.9,7.1,1.7,2.4,91.84,108.9,0.1
2019-01-03 14:30:00,2019,1,3,14,30,0.0,0.0,5.9,7.1,1.7,2.4,91.84,104.04,0.1
2019-01-03 15:00:00,2019,1,3,15,0,0.0,0.0,5.9,7.2,1.7,2.4,91.37,99.33,0.1
2019-01-03 15:30:00,2019,1,3,15,30,0.0,0.0,5.9,7.2,1.7,2.4,91.37,94.8,0.1
2019-01-03 16:00:00,2019,1,3,16,0,3.0,22.0,6.0,7.3,1.7,2.4,91.55,89.94,0.1
2019-01-03 16:30:00,2019,1,3,16,30,19.0,0.0,6.0,7.5,1.7,2.4,90.31,86.27,0.1
2019-01-03 17:00:00,2019,1,3,17,0,41.0,1.0,6.3,7.6,1.7,2.4,91.45,82.66,0.1
2019-01-03 17:30:00,2019,1,3,17,30,63.0,8.0,6.3,8.0,1.7,2.4,89.0,79.37,0.1
2019-01-03 18:00:00,2019,1,3,18,0,83.0,19.0,6.9,8.3,1.8,2.4,90.65,76.51,0.1
2019-01-03 18:30:00,2019,1,3,18,30,101.0,28.0,6.9,8.6,1.7,2.4,88.83,74.13,0.1
2019-01-03 19:00:00,2019,1,3,19,0,115.0,36.0,7.5,8.9,1.7,2.3,90.99,72.3,0.1
2019-01-03 19:30:00,2019,1,3,19,30,127.0,55.0,7.5,9.1,1.7,2.3,89.78,71.05,0.1
2019-01-03 20:00:00,2019,1,3,20,0,84.0,19.0,8.0,9.3,1.7,2.3,91.86,70.43,0.1
2019-01-03 20:30:00,2019,1,3,20,30,72.0,0.0,8.0,9.5,1.7,2.2,90.64,70.45,0.1
2019-01-03 21:00:00,2019,1,3,21,0,87.0,4.0,8.3,9.7,1.7,2.2,91.21,71.11,0.1
2019-01-03 21:30:00,2019,1,3,21,30,61.0,1.0,8.3,9.7,1.7,2.2,91.21,72.4,0.1
2019-01-03 22:00:00,2019,1,3,22,0,30.0,0.0,8.3,9.7,1.7,2.2,90.84,74.27,0.1
2019-01-03 22:30:00,2019,1,3,22,30,26.0,0.0,8.3,9.6,1.7,2.2,91.45,76.68,0.1
2019-01-03 23:00:00,2019,1,3,23,0,20.0,0.0,7.9,9.4,1.7,2.1,90.53,79.57,0.1
2019-01-03 23:30:00,2019,1,3,23,30,14.0,0.0,7.9,9.4,1.7,2.1,90.53,82.88,0.1
2019-01-04 00:00:00,2019,1,4,0,0,8.0,0.0,7.4,9.0,1.6,2.1,89.9,86.51,0.1
2019-01-04 00:30:00,2019,1,4,0,30,1.0,10.0,7.4,8.8,1.6,2.1,91.03,90.17,0.1
2019-01-04 01:00:00,2019,1,4,1,0,0.0,0.0,7.0,8.7,1.6,2.1,89.12,95.08,0.1
2019-01-04 01:30:00,2019,1,4,1,30,0.0,0.0,7.0,8.6,1.6,2.1,89.72,99.62,0.1
2019-01-04 02:00:00,2019,1,4,2,0,0.0,0.0,6.8,8.5,1.5,2.1,88.93,104.35,0.1
2019-01-04 02:30:00,2019,1,4,2,30,0.0,0.0,6.8,8.5,1.6,2.1,88.93,109.21,0.1
2019-01-04 03:00:00,2019,1,4,3,0,0.0,0.0,6.8,8.5,1.6,2.2,88.83,114.18,0.1
2019-01-04 03:30:00,2019,1,4,3,30,0.0,0.0,6.7,8.5,1.7,2.2,88.74,119.2,0.1
2019-01-04 04:00:00,2019,1,4,4,0,0.0,0.0,6.8,8.6,1.7,2.2,88.32,124.26,0.1
2019-01-04 04:30:00,2019,1,4,4,30,0.0,0.0,6.8,8.5,1.7,2.1,88.92,129.28,0.1
2019-01-04 05:00:00,2019,1,4,5,0,0.0,0.0,6.9,8.5,1.7,2.1,89.37,134.22,0.1
2019-01-04 05:30:00,2019,1,4,5,30,0.0,0.0,6.9,8.5,1.6,2.1,89.37,138.99,0.1
2019-01-04 06:00:00,2019,1,4,6,0,0.0,0.0,6.9,8.4,1.6,2.0,90.06,143.49,0.1
2019-01-04 06:30:00,2019,1,4,6,30,0.0,0.0,6.9,8.4,1.6,2.0,90.06,147.58,0.1
2019-01-04 07:00:00,2019,1,4,7,0,0.0,0.0,6.8,8.3,1.6,1.9,90.5,151.04,0.1
2019-01-04 07:30:00,2019,1,4,7,30,0.0,0.0,6.8,8.3,1.5,1.8,90.5,153.6,0.1
2019-01-04 08:00:00,2019,1,4,8,0,0.0,0.0,6.9,8.3,1.5,1.7,90.71,154.96,0.1
2019-01-04 08:30:00,2019,1,4,8,30,0.0,0.0,6.9,8.3,1.5,1.6,90.71,154.91,0.1
2019-01-04 09:00:00,2019,1,4,9,0,0.0,0.0,6.9,8.3,1.5,1.5,90.79,153.48,0.1
2019-01-04 09:30:00,2019,1,4,9,30,0.0,0.0,6.9,8.2,1.5,1.4,91.41,150.86,0.1
2019-01-04 10:00:00,2019,1,4,10,0,0.0,0.0,6.8,8.0,1.5,1.4,92.32,147.35,0.1
2019-01-04 10:30:00,2019,1,4,10,30,0.0,0.0,6.8,7.9,1.5,1.4,92.95,143.24,0.1
2019-01-04 11:00:00,2019,1,4,11,0,0.0,0.0,6.7,7.8,1.5,1.4,92.59,138.71,0.1
2019-01-04 11:30:00,2019,1,4,11,30,0.0,0.0,6.7,7.6,1.4,1.4,93.86,133.92,0.1
2019-01-04 12:00:00,2019,1,4,12,0,0.0,0.0,6.6,7.5,1.4,1.4,93.82,128.98,0.1
2019-01-04 12:30:00,2019,1,4,12,30,0.0,0.0,6.6,7.5,1.5,1.4,93.82,123.95,0.1
2019-01-04 13:00:00,2019,1,4,13,0,0.0,0.0,6.5,7.4,1.5,1.4,94.11,118.89,0.1
2019-01-04 13:30:00,2019,1,4,13,30,0.0,0.0,6.5,7.4,1.5,1.4,94.11,113.86,0.1
2019-01-04 14:00:00,2019,1,4,14,0,0.0,0.0,6.5,7.4,1.5,1.4,94.06,108.9,0.1
2019-01-04 14:30:00,2019,1,4,14,30,0.0,0.0,6.5,7.4,1.5,1.4,94.06,104.04,0.1
2019-01-04 15:00:00,2019,1,4,15,0,0.0,0.0,6.5,7.4,1.5,1.4,93.9,99.32,0.1
2019-01-04 15:30:00,2019,1,4,15,30,0.0,0.0,6.5,7.4,1.6,1.3,93.9,94.79,0.1
2019-01-04 16:00:00,2019,1,4,16,0,5.0,51.0,6.6,7.5,1.6,1.3,93.77,89.92,0.1
2019-01-04 16:30:00,2019,1,4,16,30,16.0,171.0,6.6,7.8,1.7,1.3,91.97,86.24,0.1
2019-01-04 17:00:00,2019,1,4,17,0,35.0,448.0,6.9,8.1,1.7,1.3,92.34,82.62,0.1
2019-01-04 17:30:00,2019,1,4,17,30,43.0,611.0,6.9,8.5,1.7,1.3,89.87,79.33,0.1
2019-01-04 18:00:00,2019,1,4,18,0,40.0,266.0,7.2,8.8,1.7,1.2,89.86,76.46,0.1
2019-01-04 18:30:00,2019,1,4,18,30,54.0,4.0,7.2,9.1,1.7,1.2,88.15,74.07,0.1
2019-01-04 19:00:00,2019,1,4,19,0,94.0,82.0,7.5,9.4,1.6,1.2,87.63,72.22,0.1
2019-01-04 19:30:00,2019,1,4,19,30,95.0,468.0,7.5,9.5,1.6,1.2,87.05,70.96,0.1
2019-01-04 20:00:00,2019,1,4,20,0,121.0,334.0,7.4,9.7,1.5,1.2,85.69,70.33,0.1
2019-01-04 20:30:00,2019,1,4,20,30,125.0,179.0,7.4,9.6,1.4,1.2,86.26,70.34,0.1
2019-01-04 21:00:00,2019,1,4,21,0,115.0,294.0,7.3,9.6,1.3,1.2,85.86,71.0,0.1
2019-01-04 21:30:00,2019,1,4,21,30,100.0,402.0,7.3,9.5,1.1,1.2,86.43,72.27,0.1
2019-01-04 22:00:00,2019,1,4,22,0,105.0,194.0,7.4,9.3,1.0,1.2,87.9,74.14,0.1
2019-01-04 22:30:00,2019,1,4,22,30,88.0,162.0,7.4,8.9,0.9,1.2,90.3,76.55,0.1
2019-01-04 23:00:00,2019,1,4,23,0,68.0,122.0,7.3,8.6,0.7,1.2,91.24,79.43,0.1
2019-01-04 23:30:00,2019,1,4,23,30,46.0,73.0,7.3,8.6,0.7,1.2,91.24,82.74,0.1
2019-01-05 00:00:00,2019,1,5,0,0,22.0,23.0,6.6,7.4,0.7,1.3,94.96,86.37,0.1
2019-01-05 00:30:00,2019,1,5,0,30,3.0,27.0,6.6,7.2,0.7,1.3,96.27,90.04,0.1
2019-01-05 01:00:00,2019,1,5,1,0,0.0,0.0,6.4,7.1,0.7,1.3,95.31,94.94,0.1
2019-01-05 01:30:00,2019,1,5,1,30,0.0,0.0,6.4,6.9,0.7,1.3,96.63,99.48,0.1
2019-01-05 02:00:00,2019,1,5,2,0,0.0,0.0,6.1,6.7,0.7,1.3,96.06,104.2,0.1
2019-01-05 02:30:00,2019,1,5,2,30,0.0,0.0,6.1,6.7,0.7,1.3,96.06,109.06,0.1
2019-01-05 03:00:00,2019,1,5,3,0,0.0,0.0,5.8,6.6,0.7,1.3,94.52,114.03,0.1
2019-01-05 03:30:00,2019,1,5,3,30,0.0,0.0,5.8,6.8,0.6,1.4,93.24,119.06,0.1
2019-01-05 04:00:00,2019,1,5,4,0,0.0,0.0,5.6,7.1,0.6,1.4,90.36,124.11,0.1
2019-01-05 04:30:00,2019,1,5,4,30,0.0,0.0,5.6,7.1,0.5,1.4,90.36,129.13,0.1
2019-01-05 05:00:00,2019,1,5,5,0,0.0,0.0,5.6,7.2,0.4,1.5,89.36,134.07,0.1
2019-01-05 05:30:00,2019,1,5,5,30,0.0,0.0,5.6,7.0,0.5,1.5,90.59,138.84,0.1
2019-01-05 06:00:00,2019,1,5,6,0,0.0,0.0,5.5,6.8,0.6,1.6,91.53,143.35,0.1
2019-01-05 06:30:00,2019,1,5,6,30,0.0,0.0,5.5,6.6,0.6,1.7,92.8,147.43,0.1
2019-01-05 07:00:00,2019,1,5,7,0,0.0,0.0,5.5,6.4,0.5,1.8,93.68,150.9,0.1
2019-01-05 07:30:00,2019,1,5,7,30,0.0,0.0,5.4,6.4,0.5,1.8,93.59,153.46,0.1
2019-01-05 08:00:00,2019,1,5,8,0,0.0,0.0,5.6,6.4,0.5,1.8,94.32,154.84,0.1
2019-01-05 08:30:00,2019,1,5,8,30,0.0,0.0,5.6,6.5,0.5,1.8,93.67,154.82,0.1
2019-01-05 09:00:00,2019,1,5,9,0,0.0,0.0,5.6,6.6,0.6,1.8,93.36,153.4,0.1
2019-01-05 09:30:00,2019,1,5,9,30,0.0,0.0,5.6,6.6,0.6,1.8,93.26,150.81,0.1
2019-01-05 10:00:00,2019,1,5,10,0,0.0,0.0,5.5,6.7,0.6,1.7,92.37,147.32,0.1
2019-01-05 10:30:00,2019,1,5,10,30,0.0,0.0,5.5,6.7,0.6,1.6,92.37,143.22,0.1
2019-01-05 11:00:00,2019,1,5,11,0,0.0,0.0,5.5,6.8,0.6,1.5,91.39,138.7,0.1
2019-01-05 11:30:00,2019,1,5,11,30,0.0,0.0,5.5,6.8,0.5,1.4,91.39,133.92,0.1
2019-01-05 12:00:00,2019,1,5,12,0,0.0,0.0,5.5,6.9,0.4,1.4,90.81,128.98,0.1
2019-01-05 12:30:00,2019,1,5,12,30,0.0,0.0,5.5,6.8,0.4,1.4,91.34,123.95,0.1
2019-01-05 13:00:00,2019,1,5,13,0,0.0,0.0,5.4,6.8,0.4,1.4,90.86,118.9,0.1
2019-01-05 13:30:00,2019,1,5,13,30,0.0,0.0,5.4,6.8,0.4,1.4,90.77,113.86,0.1
2019-01-05 14:00:00,2019,1,5,14,0,0.0,0.0,5.3,6.8,0.5,1.4,90.07,108.9,0.1
2019-01-05 14:30:00,2019,1,5,14,30,0.0,0.0,5.3,6.7,0.4,1.4,90.69,104.03,0.1
2019-01-05 15:00:00,2019,1,5,15,0,0.0,0.0,5.0,6.5,0.4,1.4,90.41,99.31,0.1
2019-01-05 15:30:00,2019,1,5,15,30,0.0,0.0,5.0,6.4,0.5,1.4,91.04,94.77,0.1
2019-01-05 16:00:00,2019,1,5,16,0,3.0,25.0,4.9,6.4,0.5,1.4,90.08,89.9,0.1
2019-01-05 16:30:00,2019,1,5,16,30,23.0,27.0,4.9,6.5,0.4,1.4,89.37,86.21,0.1
2019-01-05 17:00:00,2019,1,5,17,0,47.0,71.0,5.3,6.6,0.4,1.3,91.27,82.58,0.1
2019-01-05 17:30:00,2019,1,5,17,30,70.0,100.0,5.3,7.6,0.3,1.3,85.16,79.28,0.1
2019-01-05 18:00:00,2019,1,5,18,0,81.0,109.0,6.6,8.7,0.3,1.2,86.81,76.39,0.1
2019-01-05 18:30:00,2019,1,5,18,30,78.0,55.0,6.6,9.3,0.4,1.2,83.38,73.99,0.1
2019-01-05 19:00:00,2019,1,5,19,0,95.0,95.0,6.7,10.0,0.5,1.2,80.0,72.14,0.1
