,year,month,day,hour,minute,dhi,dni,dew_point,air_temperature,wind_speed,total_precipitable_water,relative_humidity,solar_zenith_angle,surface_albedo
2019-01-01 00:00:00,2019,1,1,0,0,82.0,893.0,2.19,2.6100000000000003,0.75,0.29,0.7759999999999999,0.48960000000000004,0.0015
2019-01-01 00:30:00,2019,1,1,0,30,89.0,876.0,2.19,2.6100000000000003,0.76,0.27999999999999997,0.7759999999999999,0.5247999999999999,0.0015
2019-01-01 01:00:00,2019,1,1,1,0,85.0,847.0,2.19,2.6100000000000003,0.76,0.27999999999999997,0.7748,0.5672999999999999,0.0015
2019-01-01 01:30:00,2019,1,1,1,30,80.0,807.0,2.19,2.6100000000000003,0.76,0.27999999999999997,0.7748,0.6154,0.0015
2019-01-01 02:00:00,2019,1,1,2,0,75.0,750.0,2.18,2.6,0.76,0.27999999999999997,0.7776000000000001,0.6681,0.0015
2019-01-01 02:30:00,2019,1,1,2,30,66.0,666.0,2.18,2.59,0.76,0.27999999999999997,0.7822,0.7242000000000001,0.0015
2019-01-01 03:00:00,2019,1,1,3,0,53.0,535.0,2.18,2.58,0.76,0.27,0.7885,0.7829,0.0015
2019-01-01 03:30:00,2019,1,1,3,30,36.0,312.0,2.18,2.56,0.76,0.27,0.7979,0.8434,0.0015
2019-01-01 04:00:00,2019,1,1,4,0,6.0,36.0,2.19,2.54,0.77,0.27,0.8084,0.9018,0.0015
2019-01-01 04:30:00,2019,1,1,4,30,0.0,0.0,2.19,2.5300000000000002,0.78,0.26,0.8131999999999999,0.9718000000000001,0.0015
2019-01-01 05:00:00,2019,1,1,5,0,0.0,0.0,2.18,2.52,0.79,0.26,0.8154,1.0371,0.0015
2019-01-01 05:30:00,2019,1,1,5,30,0.0,0.0,2.18,2.52,0.8,0.25,0.8162,1.1033,0.0015
2019-01-01 06:00:00,2019,1,1,6,0,0.0,0.0,2.17,2.5100000000000002,0.8,0.25,0.8169,1.1702,0.0015
2019-01-01 06:30:00,2019,1,1,6,30,0.0,0.0,2.17,2.5100000000000002,0.8099999999999999,0.25,0.8169,1.2377,0.0015
2019-01-01 07:00:00,2019,1,1,7,0,0.0,0.0,2.17,2.5,0.8099999999999999,0.24,0.8194,1.3056999999999999,0.0015
2019-01-01 07:30:00,2019,1,1,7,30,0.0,0.0,2.17,2.5,0.8099999999999999,0.24,0.8194,1.374,0.0015
2019-01-01 08:00:00,2019,1,1,8,0,0.0,0.0,2.17,2.4899999999999998,0.82,0.24,0.8222,1.4425999999999999,0.0015
2019-01-01 08:30:00,2019,1,1,8,30,0.0,0.0,2.17,2.4899999999999998,0.8099999999999999,0.22999999999999998,0.8222,1.5115,0.0015
2019-01-01 09:00:00,2019,1,1,9,0,0.0,0.0,2.16,2.4899999999999998,0.8099999999999999,0.22999999999999998,0.8187000000000001,1.5805,0.0015
2019-01-01 09:30:00,2019,1,1,9,30,0.0,0.0,2.16,2.48,0.79,0.22000000000000003,0.8236,1.6494,0.0015
2019-01-01 10:00:00,2019,1,1,10,0,0.0,0.0,2.15,2.48,0.78,0.22000000000000003,0.8177,1.7180000000000002,0.0015
2019-01-01 10:30:00,2019,1,1,10,30,0.0,0.0,2.15,2.48,0.76,0.22000000000000003,0.8177,1.7797,0.0015
2019-01-01 11:00:00,2019,1,1,11,0,0.0,0.0,2.13,2.48,0.74,0.22000000000000003,0.8112,1.7388,0.0015
2019-01-01 11:30:00,2019,1,1,11,30,0.0,0.0,2.13,2.48,0.72,0.22000000000000003,0.8112,1.6708,0.0015
2019-01-01 12:00:00,2019,1,1,12,0,0.0,0.0,2.12,2.4699999999999998,0.7,0.22000000000000003,0.8104,1.6018999999999999,0.0015
2019-01-01 12:30:00,2019,1,1,12,30,0.0,0.0,2.12,2.4699999999999998,0.6900000000000001,0.22999999999999998,0.8104,1.5329,0.0015
2019-01-01 13:00:00,2019,1,1,13,0,0.0,0.0,2.12,2.4699999999999998,0.67,0.22999999999999998,0.8075,1.4638999999999998,0.0015
2019-01-01 13:30:00,2019,1,1,13,30,0.0,0.0,2.12,2.4699999999999998,0.6599999999999999,0.24,0.8075,1.3952,0.0015
2019-01-01 14:00:00,2019,1,1,14,0,0.0,0.0,2.1100000000000003,2.4699999999999998,0.65,0.24,0.8057,1.3268,0.0015
2019-01-01 14:30:00,2019,1,1,14,30,0.0,0.0,2.1100000000000003,2.4699999999999998,0.6599999999999999,0.24,0.8057,1.2587000000000002,0.0015
2019-01-01 15:00:00,2019,1,1,15,0,0.0,0.0,2.12,2.4699999999999998,0.6599999999999999,0.25,0.8081999999999999,1.1909999999999998,0.0015
2019-01-01 15:30:00,2019,1,1,15,30,0.0,0.0,2.12,2.4699999999999998,0.67,0.25,0.8081999999999999,1.1239,0.0015
2019-01-01 16:00:00,2019,1,1,16,0,0.0,0.0,2.13,2.4699999999999998,0.67,0.26,0.813,1.0574,0.0015
2019-01-01 16:30:00,2019,1,1,16,30,0.0,0.0,2.13,2.4699999999999998,0.6900000000000001,0.26,0.813,0.9918,0.0015
2019-01-01 17:00:00,2019,1,1,17,0,0.0,0.0,2.13,2.48,0.7,0.26,0.8104,0.9272,0.0015
2019-01-01 17:30:00,2019,1,1,17,30,28.0,201.0,2.13,2.4899999999999998,0.72,0.26,0.8056,0.8619,0.0015
2019-01-01 18:00:00,2019,1,1,18,0,51.0,376.0,2.13,2.5,0.74,0.26,0.7989,0.8012999999999999,0.0015
2019-01-01 18:30:00,2019,1,1,18,30,69.0,184.0,2.13,2.5100000000000002,0.75,0.26,0.7942,0.7419,0.0015
2019-01-01 19:00:00,2019,1,1,19,0,80.0,6.0,2.12,2.52,0.76,0.25,0.7845,0.6848000000000001,0.0015
2019-01-01 19:30:00,2019,1,1,19,30,120.0,5.0,2.12,2.5300000000000002,0.75,0.25,0.7791,0.6309,0.0015
2019-01-01 20:00:00,2019,1,1,20,0,140.0,4.0,2.1100000000000003,2.54,0.74,0.25,0.7694,0.5811999999999999,0.0015
2019-01-01 20:30:00,2019,1,1,20,30,156.0,80.0,2.1100000000000003,2.55,0.73,0.24,0.7648999999999999,0.5367000000000001,0.0015
2019-01-01 21:00:00,2019,1,1,21,0,174.0,445.0,2.09,2.56,0.72,0.24,0.7519,0.499,0.0015
2019-01-01 21:30:00,2019,1,1,21,30,204.0,12.0,2.09,2.56,0.7,0.24,0.7519,0.4697,0.0015
2019-01-01 22:00:00,2019,1,1,22,0,229.0,96.0,2.07,2.57,0.6799999999999999,0.22999999999999998,0.7387999999999999,0.45039999999999997,0.0015
2019-01-01 22:30:00,2019,1,1,22,30,138.0,789.0,2.07,2.58,0.67,0.22999999999999998,0.7337,0.4424,0.0015
2019-01-01 23:00:00,2019,1,1,23,0,100.0,920.0,2.05,2.59,0.65,0.22999999999999998,0.721,0.4465,0.0015
2019-01-01 23:30:00,2019,1,1,23,30,99.0,913.0,2.05,2.59,0.65,0.22999999999999998,0.721,0.4621,0.0015
2019-01-02 00:00:00,2019,1,2,0,0,96.0,903.0,2.0300000000000002,2.6,0.61,0.22000000000000003,0.7090000000000001,0.48840000000000006,0.0015
2019-01-02 00:30:00,2019,1,2,0,30,170.0,602.0,2.0300000000000002,2.6,0.6,0.22000000000000003,0.7090000000000001,0.5235,0.0015
2019-01-02 01:00:00,2019,1,2,1,0,232.0,236.0,2.02,2.6100000000000003,0.5900000000000001,0.22000000000000003,0.6988,0.5659000000000001,0.0015
2019-01-02 01:30:00,2019,1,2,1,30,196.0,193.0,2.02,2.6,0.5900000000000001,0.22000000000000003,0.7029000000000001,0.6141,0.0015
2019-01-02 02:00:00,2019,1,2,2,0,155.0,205.0,2.0100000000000002,2.6,0.5900000000000001,0.21000000000000002,0.6998000000000001,0.6667000000000001,0.0015
2019-01-02 02:30:00,2019,1,2,2,30,95.0,288.0,2.0100000000000002,2.59,0.58,0.21000000000000002,0.7045999999999999,0.7228,0.0015
2019-01-02 03:00:00,2019,1,2,3,0,56.0,546.0,2.02,2.58,0.58,0.21000000000000002,0.7118000000000001,0.7816,0.0015
2019-01-02 03:30:00,2019,1,2,3,30,37.0,324.0,2.02,2.56,0.58,0.21000000000000002,0.7203,0.8420000000000001,0.0015
2019-01-02 04:00:00,2019,1,2,4,0,7.0,40.0,2.02,2.54,0.58,0.2,0.7295,0.9007,0.0015
2019-01-02 04:30:00,2019,1,2,4,30,0.0,0.0,2.02,2.5300000000000002,0.58,0.2,0.7345,0.9704999999999999,0.0015
2019-01-02 05:00:00,2019,1,2,5,0,0.0,0.0,2.0100000000000002,2.52,0.5900000000000001,0.2,0.7343999999999999,1.0358,0.0015
2019-01-02 05:30:00,2019,1,2,5,30,0.0,0.0,2.0100000000000002,2.5100000000000002,0.5900000000000001,0.2,0.7387999999999999,1.102,0.0015
2019-01-02 06:00:00,2019,1,2,6,0,0.0,0.0,2.0,2.5,0.5900000000000001,0.2,0.7376,1.169,0.0015
2019-01-02 06:30:00,2019,1,2,6,30,0.0,0.0,2.0,2.4899999999999998,0.5900000000000001,0.2,0.742,1.2365000000000002,0.0015
2019-01-02 07:00:00,2019,1,2,7,0,0.0,0.0,1.9899999999999998,2.4899999999999998,0.5900000000000001,0.2,0.7384999999999999,1.3045,0.0015
2019-01-02 07:30:00,2019,1,2,7,30,0.0,0.0,1.9899999999999998,2.48,0.5900000000000001,0.2,0.7429000000000001,1.3728,0.0015
2019-01-02 08:00:00,2019,1,2,8,0,0.0,0.0,1.9899999999999998,2.4699999999999998,0.58,0.21000000000000002,0.7454000000000001,1.4415,0.0015
2019-01-02 08:30:00,2019,1,2,8,30,0.0,0.0,1.9899999999999998,2.46,0.5900000000000001,0.21000000000000002,0.7498999999999999,1.5104,0.0015
2019-01-02 09:00:00,2019,1,2,9,0,0.0,0.0,1.9899999999999998,2.46,0.5900000000000001,0.21000000000000002,0.7504000000000001,1.5794,0.0015
2019-01-02 09:30:00,2019,1,2,9,30,0.0,0.0,1.9899999999999998,2.46,0.5900000000000001,0.22000000000000003,0.7504000000000001,1.6484,0.0015
2019-01-02 10:00:00,2019,1,2,10,0,0.0,0.0,1.9899999999999998,2.45,0.6,0.22000000000000003,0.7575,1.7171,0.0015
2019-01-02 10:30:00,2019,1,2,10,30,0.0,0.0,1.9899999999999998,2.45,0.6,0.22000000000000003,0.7575,1.7797999999999998,0.0015
2019-01-02 11:00:00,2019,1,2,11,0,0.0,0.0,2.0,2.45,0.61,0.22999999999999998,0.7602,1.7401,0.0015
2019-01-02 11:30:00,2019,1,2,11,30,0.0,0.0,2.0,2.45,0.62,0.22999999999999998,0.7602,1.6719,0.0015
2019-01-02 12:00:00,2019,1,2,12,0,0.0,0.0,2.0,2.45,0.63,0.22999999999999998,0.7626999999999999,1.6030000000000002,0.0015
2019-01-02 12:30:00,2019,1,2,12,30,0.0,0.0,2.0,2.45,0.64,0.22999999999999998,0.7626999999999999,1.5338999999999998,0.0015
2019-01-02 13:00:00,2019,1,2,13,0,0.0,0.0,2.0100000000000002,2.45,0.65,0.22999999999999998,0.7645000000000001,1.465,0.0015
2019-01-02 13:30:00,2019,1,2,13,30,0.0,0.0,2.0100000000000002,2.44,0.65,0.22999999999999998,0.7691,1.3962,0.0015
2019-01-02 14:00:00,2019,1,2,14,0,0.0,0.0,2.0100000000000002,2.44,0.6599999999999999,0.22999999999999998,0.7701,1.3277,0.0015
2019-01-02 14:30:00,2019,1,2,14,30,0.0,0.0,2.0100000000000002,2.44,0.6599999999999999,0.22999999999999998,0.7701,1.2595999999999998,0.0015
2019-01-02 15:00:00,2019,1,2,15,0,0.0,0.0,2.0100000000000002,2.44,0.6599999999999999,0.22999999999999998,0.7687999999999999,1.1919,0.0015
2019-01-02 15:30:00,2019,1,2,15,30,0.0,0.0,2.0100000000000002,2.45,0.6599999999999999,0.22999999999999998,0.7643000000000001,1.1247,0.0015
2019-01-02 16:00:00,2019,1,2,16,0,0.0,0.0,2.0,2.45,0.6599999999999999,0.22999999999999998,0.7584000000000001,1.0582,0.0015
2019-01-02 16:30:00,2019,1,2,16,30,0.0,0.0,2.0,2.46,0.6599999999999999,0.22999999999999998,0.7539,0.9926,0.0015
2019-01-02 17:00:00,2019,1,2,17,0,0.0,0.0,1.98,2.4699999999999998,0.6599999999999999,0.22999999999999998,0.742,0.9279000000000001,0.0015
2019-01-02 17:30:00,2019,1,2,17,30,26.0,165.0,1.98,2.4899999999999998,0.67,0.22000000000000003,0.7332,0.8625,0.0015
2019-01-02 18:00:00,2019,1,2,18,0,51.0,467.0,1.9600000000000002,2.5100000000000002,0.6799999999999999,0.22000000000000003,0.7159,0.8018000000000001,0.0015
2019-01-02 18:30:00,2019,1,2,18,30,66.0,626.0,1.9600000000000002,2.52,0.6900000000000001,0.22000000000000003,0.7123,0.7423000000000001,0.0015
2019-01-02 19:00:00,2019,1,2,19,0,76.0,726.0,1.94,2.54,0.6900000000000001,0.22000000000000003,0.6962999999999999,0.6851999999999999,0.0015
2019-01-02 19:30:00,2019,1,2,19,30,84.0,792.0,1.94,2.55,0.6900000000000001,0.22000000000000003,0.6922,0.6312,0.0015
2019-01-02 20:00:00,2019,1,2,20,0,89.0,839.0,1.94,2.56,0.6799999999999999,0.22000000000000003,0.6845,0.5813,0.0015
2019-01-02 20:30:00,2019,1,2,20,30,91.0,877.0,1.9300000000000002,2.56,0.6799999999999999,0.22000000000000003,0.6838,0.5366,0.0015
2019-01-02 21:00:00,2019,1,2,21,0,91.0,908.0,1.9300000000000002,2.57,0.6799999999999999,0.22000000000000003,0.6768000000000001,0.4988,0.0015
2019-01-02 21:30:00,2019,1,2,21,30,93.0,924.0,1.9300000000000002,2.58,0.67,0.22000000000000003,0.6720999999999999,0.4692,0.0015
2019-01-02 22:00:00,2019,1,2,22,0,93.0,934.0,1.92,2.58,0.67,0.22000000000000003,0.6693000000000001,0.4497,0.0015
2019-01-02 22:30:00,2019,1,2,22,30,94.0,938.0,1.92,2.59,0.6599999999999999,0.22000000000000003,0.6654000000000001,0.4416,0.0015
2019-01-02 23:00:00,2019,1,2,23,0,93.0,938.0,1.92,2.59,0.6599999999999999,0.22000000000000003,0.6646,0.4454,0.0015
2019-01-02 23:30:00,2019,1,2,23,30,92.0,931.0,1.92,2.59,0.6599999999999999,0.22000000000000003,0.6646,0.461,0.0015
2019-01-03 00:00:00,2019,1,3,0,0,88.0,923.0,1.92,2.6,0.64,0.22000000000000003,0.6620999999999999,0.48710000000000003,0.0015
2019-01-03 00:30:00,2019,1,3,0,30,84.0,908.0,1.92,2.6,0.64,0.22000000000000003,0.6620999999999999,0.5221,0.0015
2019-01-03 01:00:00,2019,1,3,1,0,80.0,882.0,1.9300000000000002,2.6,0.63,0.22000000000000003,0.6647,0.5645,0.0015
2019-01-03 01:30:00,2019,1,3,1,30,75.0,844.0,1.9300000000000002,2.6,0.62,0.22000000000000003,0.6647,0.6127,0.0015
2019-01-03 02:00:00,2019,1,3,2,0,69.0,791.0,1.94,2.6,0.62,0.22000000000000003,0.6692,0.6653,0.0015
2019-01-03 02:30:00,2019,1,3,2,30,61.0,713.0,1.94,2.58,0.6,0.22999999999999998,0.6778,0.7214,0.0015
2019-01-03 03:00:00,2019,1,3,3,0,51.0,590.0,1.9600000000000002,2.57,0.5900000000000001,0.22999999999999998,0.6920999999999999,0.7802,0.0015
2019-01-03 03:30:00,2019,1,3,3,30,35.0,374.0,1.9600000000000002,2.56,0.58,0.22999999999999998,0.6962,0.8406999999999999,0.0015
2019-01-03 04:00:00,2019,1,3,4,0,7.0,52.0,1.98,2.54,0.5700000000000001,0.22999999999999998,0.7137,0.8996,0.0015
2019-01-03 04:30:00,2019,1,3,4,30,0.0,0.0,1.98,2.5300000000000002,0.58,0.22999999999999998,0.7179000000000001,0.9692000000000001,0.0015
2019-01-03 05:00:00,2019,1,3,5,0,0.0,0.0,1.9899999999999998,2.52,0.58,0.22999999999999998,0.7256999999999999,1.0345,0.0015
2019-01-03 05:30:00,2019,1,3,5,30,0.0,0.0,1.9899999999999998,2.5100000000000002,0.5900000000000001,0.22999999999999998,0.7306999999999999,1.1008,0.0015
2019-01-03 06:00:00,2019,1,3,6,0,0.0,0.0,2.0,2.5,0.6,0.22999999999999998,0.7359,1.1677,0.0015
2019-01-03 06:30:00,2019,1,3,6,30,0.0,0.0,2.0,2.5,0.61,0.22999999999999998,0.7359,1.2351999999999999,0.0015
2019-01-03 07:00:00,2019,1,3,7,0,0.0,0.0,2.0,2.4899999999999998,0.62,0.22999999999999998,0.7404999999999999,1.3033000000000001,0.0015
2019-01-03 07:30:00,2019,1,3,7,30,0.0,0.0,2.0,2.48,0.62,0.22999999999999998,0.7448999999999999,1.3716,0.0015
2019-01-03 08:00:00,2019,1,3,8,0,0.0,0.0,1.9899999999999998,2.48,0.63,0.22999999999999998,0.7431,1.4403,0.0015
2019-01-03 08:30:00,2019,1,3,8,30,0.0,0.0,1.9899999999999998,2.4699999999999998,0.63,0.22999999999999998,0.7476,1.5091999999999999,0.0015
2019-01-03 09:00:00,2019,1,3,9,0,0.0,0.0,1.98,2.4699999999999998,0.62,0.22999999999999998,0.7439,1.5783,0.0015
2019-01-03 09:30:00,2019,1,3,9,30,0.0,0.0,1.98,2.4699999999999998,0.62,0.22999999999999998,0.7439,1.6474000000000002,0.0015
2019-01-03 10:00:00,2019,1,3,10,0,0.0,0.0,1.98,2.46,0.62,0.22999999999999998,0.7445999999999999,1.7162,0.0015
2019-01-03 10:30:00,2019,1,3,10,30,0.0,0.0,1.98,2.46,0.63,0.22999999999999998,0.7445999999999999,1.7797999999999998,0.0015
2019-01-03 11:00:00,2019,1,3,11,0,0.0,0.0,1.97,2.46,0.63,0.22999999999999998,0.742,1.7413999999999998,0.0015
2019-01-03 11:30:00,2019,1,3,11,30,0.0,0.0,1.97,2.45,0.63,0.22999999999999998,0.7464,1.6731,0.0015
2019-01-03 12:00:00,2019,1,3,12,0,0.0,0.0,1.9600000000000002,2.45,0.63,0.22999999999999998,0.7428,1.604,0.0015
2019-01-03 12:30:00,2019,1,3,12,30,0.0,0.0,1.9600000000000002,2.44,0.63,0.22999999999999998,0.7472,1.5349000000000002,0.0015
2019-01-03 13:00:00,2019,1,3,13,0,0.0,0.0,1.95,2.44,0.63,0.22000000000000003,0.742,1.466,0.0015
2019-01-03 13:30:00,2019,1,3,13,30,0.0,0.0,1.95,2.44,0.63,0.22000000000000003,0.742,1.3972,0.0015
2019-01-03 14:00:00,2019,1,3,14,0,0.0,0.0,1.94,2.43,0.63,0.22000000000000003,0.7393000000000001,1.3286000000000002,0.0015
2019-01-03 14:30:00,2019,1,3,14,30,0.0,0.0,1.94,2.43,0.63,0.22000000000000003,0.7393000000000001,1.2605,0.0015
2019-01-03 15:00:00,2019,1,3,15,0,0.0,0.0,1.9300000000000002,2.43,0.64,0.22000000000000003,0.7354,1.1926999999999999,0.0015
2019-01-03 15:30:00,2019,1,3,15,30,0.0,0.0,1.9300000000000002,2.42,0.63,0.22000000000000003,0.7398,1.1255,0.0015
2019-01-03 16:00:00,2019,1,3,16,0,0.0,0.0,1.9300000000000002,2.42,0.63,0.22000000000000003,0.7393000000000001,1.0590000000000002,0.0015
2019-01-03 16:30:00,2019,1,3,16,30,0.0,0.0,1.9300000000000002,2.42,0.63,0.22000000000000003,0.7393000000000001,0.9933,0.0015
2019-01-03 17:00:00,2019,1,3,17,0,0.0,0.0,1.9300000000000002,2.43,0.63,0.22999999999999998,0.7373999999999999,0.9285,0.0015
2019-01-03 17:30:00,2019,1,3,17,30,27.0,234.0,1.9300000000000002,2.45,0.65,0.22999999999999998,0.7287,0.8631,0.0015
2019-01-03 18:00:00,2019,1,3,18,0,47.0,513.0,1.9300000000000002,2.46,0.67,0.22999999999999998,0.7259,0.8023,0.0015
2019-01-03 18:30:00,2019,1,3,18,30,63.0,572.0,1.9300000000000002,2.4699999999999998,0.67,0.22999999999999998,0.7216,0.7426999999999999,0.0015
2019-01-03 19:00:00,2019,1,3,19,0,147.0,87.0,1.9300000000000002,2.4899999999999998,0.6799999999999999,0.22999999999999998,0.7112999999999999,0.6855,0.0015
2019-01-03 19:30:00,2019,1,3,19,30,194.0,136.0,1.9300000000000002,2.5,0.6799999999999999,0.22999999999999998,0.7071,0.6313,0.0015
2019-01-03 20:00:00,2019,1,3,20,0,213.0,267.0,1.92,2.5100000000000002,0.6799999999999999,0.22999999999999998,0.6998000000000001,0.5813,0.0015
2019-01-03 20:30:00,2019,1,3,20,30,208.0,372.0,1.92,2.5100000000000002,0.6900000000000001,0.22999999999999998,0.6990999999999999,0.5365,0.0015
2019-01-03 21:00:00,2019,1,3,21,0,178.0,294.0,1.9100000000000001,2.52,0.7,0.22000000000000003,0.6901,0.4984,0.0015
2019-01-03 21:30:00,2019,1,3,21,30,253.0,258.0,1.9100000000000001,2.5300000000000002,0.71,0.22000000000000003,0.6853,0.46869999999999995,0.0015
2019-01-03 22:00:00,2019,1,3,22,0,258.0,331.0,1.9,2.5300000000000002,0.71,0.22000000000000003,0.6809999999999999,0.449,0.0015
2019-01-03 22:30:00,2019,1,3,22,30,305.0,148.0,1.9,2.54,0.72,0.22000000000000003,0.6769,0.44060000000000005,0.0015
2019-01-03 23:00:00,2019,1,3,23,0,305.0,325.0,1.89,2.54,0.73,0.21000000000000002,0.6740999999999999,0.4443,0.0015
2019-01-03 23:30:00,2019,1,3,23,30,222.0,503.0,1.89,2.54,0.73,0.21000000000000002,0.6740999999999999,0.4597,0.0015
2019-01-04 00:00:00,2019,1,4,0,0,159.0,658.0,1.89,2.55,0.75,0.21000000000000002,0.6698999999999999,0.4857,0.0015
2019-01-04 00:30:00,2019,1,4,0,30,138.0,704.0,1.89,2.54,0.77,0.2,0.6739,0.5207,0.0015
2019-01-04 01:00:00,2019,1,4,1,0,153.0,558.0,1.9,2.54,0.78,0.2,0.6751999999999999,0.5631,0.0015
2019-01-04 01:30:00,2019,1,4,1,30,133.0,464.0,1.9,2.5300000000000002,0.79,0.2,0.6792,0.6112,0.0015
2019-01-04 02:00:00,2019,1,4,2,0,99.0,448.0,1.9,2.52,0.8099999999999999,0.2,0.6853,0.6639,0.0015
2019-01-04 02:30:00,2019,1,4,2,30,68.0,463.0,1.9,2.5,0.8099999999999999,0.2,0.6934999999999999,0.72,0.0015
2019-01-04 03:00:00,2019,1,4,3,0,49.0,542.0,1.9100000000000001,2.48,0.82,0.2,0.7053,0.7787999999999999,0.0015
2019-01-04 03:30:00,2019,1,4,3,30,34.0,342.0,1.9100000000000001,2.46,0.82,0.2,0.7137,0.8393,0.0015
2019-01-04 04:00:00,2019,1,4,4,0,10.0,65.0,1.9,2.45,0.8300000000000001,0.2,0.7165,0.8984000000000001,0.0015
2019-01-04 04:30:00,2019,1,4,4,30,0.0,0.0,1.9,2.44,0.8400000000000001,0.2,0.7206999999999999,0.9679000000000001,0.0015
2019-01-04 05:00:00,2019,1,4,5,0,0.0,0.0,1.89,2.44,0.8400000000000001,0.2,0.7138,1.0332,0.0015
2019-01-04 05:30:00,2019,1,4,5,30,0.0,0.0,1.89,2.43,0.85,0.2,0.7181000000000001,1.0995,0.0015
2019-01-04 06:00:00,2019,1,4,6,0,0.0,0.0,1.8699999999999999,2.43,0.85,0.2,0.7081000000000001,1.1665,0.0015
2019-01-04 06:30:00,2019,1,4,6,30,0.0,0.0,1.8699999999999999,2.43,0.85,0.2,0.7081000000000001,1.234,0.0015
2019-01-04 07:00:00,2019,1,4,7,0,0.0,0.0,1.85,2.43,0.85,0.2,0.6998000000000001,1.3019999999999998,0.0015
2019-01-04 07:30:00,2019,1,4,7,30,0.0,0.0,1.85,2.43,0.8400000000000001,0.2,0.6998000000000001,1.3705,0.0015
2019-01-04 08:00:00,2019,1,4,8,0,0.0,0.0,1.8399999999999999,2.43,0.8400000000000001,0.2,0.6956,1.4391999999999998,0.0015
2019-01-04 08:30:00,2019,1,4,8,30,0.0,0.0,1.8399999999999999,2.43,0.8400000000000001,0.2,0.6949,1.5081,0.0015
2019-01-04 09:00:00,2019,1,4,9,0,0.0,0.0,1.83,2.43,0.8300000000000001,0.2,0.6918000000000001,1.5772,0.0015
2019-01-04 09:30:00,2019,1,4,9,30,0.0,0.0,1.83,2.43,0.8400000000000001,0.2,0.6918000000000001,1.6463999999999999,0.0015
2019-01-04 10:00:00,2019,1,4,10,0,0.0,0.0,1.83,2.43,0.8400000000000001,0.2,0.6903,1.7153,0.0015
2019-01-04 10:30:00,2019,1,4,10,30,0.0,0.0,1.83,2.43,0.8400000000000001,0.2,0.6903,1.7799,0.0015
2019-01-04 11:00:00,2019,1,4,11,0,0.0,0.0,1.83,2.43,0.8400000000000001,0.2,0.6923999999999999,1.7427000000000001,0.0015
2019-01-04 11:30:00,2019,1,4,11,30,0.0,0.0,1.83,2.43,0.8400000000000001,0.2,0.6923999999999999,1.6742,0.0015
2019-01-04 12:00:00,2019,1,4,12,0,0.0,0.0,1.83,2.43,0.8400000000000001,0.21000000000000002,0.6940999999999999,1.6051,0.0015
2019-01-04 12:30:00,2019,1,4,12,30,0.0,0.0,1.83,2.43,0.8300000000000001,0.21000000000000002,0.6940999999999999,1.536,0.0015
2019-01-04 13:00:00,2019,1,4,13,0,0.0,0.0,1.8399999999999999,2.43,0.82,0.21000000000000002,0.6962999999999999,1.4668999999999999,0.0015
2019-01-04 13:30:00,2019,1,4,13,30,0.0,0.0,1.8399999999999999,2.43,0.8099999999999999,0.21000000000000002,0.6962999999999999,1.3981000000000001,0.0015
2019-01-04 14:00:00,2019,1,4,14,0,0.0,0.0,1.8399999999999999,2.43,0.8099999999999999,0.21000000000000002,0.6970999999999999,1.3295,0.0015
2019-01-04 14:30:00,2019,1,4,14,30,0.0,0.0,1.8399999999999999,2.43,0.8,0.21000000000000002,0.6970999999999999,1.2612999999999999,0.0015
2019-01-04 15:00:00,2019,1,4,15,0,0.0,0.0,1.8399999999999999,2.43,0.79,0.21000000000000002,0.6966,1.1935,0.0015
2019-01-04 15:30:00,2019,1,4,15,30,0.0,0.0,1.8399999999999999,2.44,0.78,0.21000000000000002,0.6925,1.1262999999999999,0.0015
2019-01-04 16:00:00,2019,1,4,16,0,0.0,0.0,1.85,2.44,0.77,0.21000000000000002,0.6948000000000001,1.0597,0.0015
2019-01-04 16:30:00,2019,1,4,16,30,0.0,0.0,1.85,2.44,0.77,0.21000000000000002,0.6948000000000001,0.9939,0.0015
2019-01-04 17:00:00,2019,1,4,17,0,0.0,0.0,1.85,2.45,0.77,0.21000000000000002,0.6945999999999999,0.9290999999999999,0.0015
2019-01-04 17:30:00,2019,1,4,17,30,27.0,205.0,1.86,2.4699999999999998,0.78,0.21000000000000002,0.6870999999999999,0.8636,0.0015
2019-01-04 18:00:00,2019,1,4,18,0,50.0,478.0,1.86,2.4899999999999998,0.79,0.22000000000000003,0.6819,0.8027,0.0015
2019-01-04 18:30:00,2019,1,4,18,30,70.0,441.0,1.86,2.5,0.79,0.22000000000000003,0.6779000000000001,0.7431,0.0015
2019-01-04 19:00:00,2019,1,4,19,0,78.0,657.0,1.8699999999999999,2.52,0.79,0.22000000000000003,0.6720999999999999,0.6857,0.0015
2019-01-04 19:30:00,2019,1,4,19,30,128.0,288.0,1.8699999999999999,2.5300000000000002,0.79,0.22000000000000003,0.6681999999999999,0.6315,0.0015
2019-01-04 20:00:00,2019,1,4,20,0,154.0,218.0,1.8800000000000001,2.54,0.79,0.22000000000000003,0.6673,0.5813,0.0015
2019-01-04 20:30:00,2019,1,4,20,30,173.0,350.0,1.8800000000000001,2.55,0.79,0.22000000000000003,0.6634,0.5363,0.0015
2019-01-04 21:00:00,2019,1,4,21,0,143.0,687.0,1.89,2.56,0.78,0.22000000000000003,0.6646,0.49810000000000004,0.0015
2019-01-04 21:30:00,2019,1,4,21,30,173.0,650.0,1.89,2.56,0.78,0.22000000000000003,0.6639,0.4681,0.0015
